id,name,description,address
cpm_inv_sbc,StoneBridge Capital,"A leading investment firm specializing in construction and real estate projects worldwide.","123 Stonebridge Ave, New York, NY"
cpm_inv_scv,SteelCrest Ventures,"Focused on innovative and sustainable construction ventures for long-term growth.","456 Steel St, Chicago, IL"
cpm_inv_bwp,BuildWise Partners,"Strategic investors in urban development and infrastructure projects.","789 Build Rd, San Francisco, CA"
cpm_inv_fi,Fortis Investments,"Dedicated to funding large-scale commercial and residential construction projects.","234 Fortis Blvd, Dallas, TX"
cpm_inv_tec,TitanEdge Capital,"Specializing in high-growth construction and engineering sectors globally.","567 Titan Ave, Miami, FL"
cpm_inv_cp,Constructiva Partners,"Committed to innovative financing solutions for construction and real estate projects.","890 Construct Dr, Seattle, WA"
cpm_inv_ppv,PillarPoint Ventures,"Investing in resilient infrastructure and transformative construction projects.","345 Pillar Ln, Boston, MA"
cpm_inv_seg,Skyline Equity Group,"Leading the way in sustainable construction investments for a modern skyline.","678 Skyline Rd, Denver, CO"
cpm_inv_fam,Foundation Asset Management,"Providing foundational capital for essential construction and infrastructure projects.","901 Foundation Blvd, Atlanta, GA"
cpm_inv_igi,IronGate Investments,"Building strong foundations for tomorrowâ€™s major construction projects.","112 IronGate St, Houston, TX"